"coalesce","avg_review_score","total_orders","avg_freight_value","responsabilidade_atraso"
"moveis_quarto",1,3,65.56,"Atraso da Transportadora (LOGISTICA)"
"musica",1,1,19.74,"Atraso da Transportadora (LOGISTICA)"
"telefonia_fixa",1,4,13.15,"Atraso do Vendedor (POSTAGEM)"
"fashion_underwear_e_moda_praia",1,3,19.65,"Atraso da Transportadora (LOGISTICA)"
"tablets_impressao_imagem",1,1,15.82,"Atraso do Vendedor (POSTAGEM)"
"artes_e_artesanato",1,1,22.21,"Atraso da Transportadora (LOGISTICA)"
"fashion_roupa_masculina",1,1,16.18,"Atraso da Transportadora (LOGISTICA)"
"flores",1,1,15.1,"Atraso da Transportadora (LOGISTICA)"
"industria_comercio_e_negocios",1,1,34.51,"Atraso do Vendedor (POSTAGEM)"
"fashion_calcados",1,2,16.01,"Atraso do Vendedor (POSTAGEM)"
"livros_importados",1,2,10.42,"Atraso do Vendedor (POSTAGEM)"
"malas_acessorios",1,2,35.11,"Atraso do Vendedor (POSTAGEM)"
"moveis_colchao_e_estofado",1,1,39.29,"Atraso do Vendedor (POSTAGEM)"
"pcs",1,1,67.68,"Atraso do Vendedor (POSTAGEM)"
"construcao_ferramentas_seguranca",1,1,15.57,"Atraso da Transportadora (LOGISTICA)"
"musica",1,1,17.81,"Atraso do Vendedor (POSTAGEM)"
"sinalizacao_e_seguranca",1.25,3,27.29,"Atraso do Vendedor (POSTAGEM)"
"dvds_blu_ray",1.25,4,15.19,"Atraso da Transportadora (LOGISTICA)"
"construcao_ferramentas_seguranca",1.33,3,12.59,"Atraso do Vendedor (POSTAGEM)"
"audio",1.4,4,16.71,"Atraso do Vendedor (POSTAGEM)"
"agro_industria_e_comercio",1.5,2,108.29,"Atraso do Vendedor (POSTAGEM)"
"bebidas",1.5,5,11.92,"Atraso do Vendedor (POSTAGEM)"
"moveis_cozinha_area_de_servico_jantar_e_jardim",1.5,5,35.97,"Atraso do Vendedor (POSTAGEM)"
"eletrodomesticos_2",1.63,8,57.78,"Atraso do Vendedor (POSTAGEM)"
"portateis_casa_forno_e_cafe",1.67,3,58.21,"Atraso da Transportadora (LOGISTICA)"
"climatizacao",1.67,5,27.89,"Atraso da Transportadora (LOGISTICA)"
"casa_conforto_2",1.75,3,15.52,"Atraso da Transportadora (LOGISTICA)"
"audio",1.75,36,17.85,"Atraso da Transportadora (LOGISTICA)"
"fashion_underwear_e_moda_praia",1.78,8,14.71,"Atraso do Vendedor (POSTAGEM)"
"instrumentos_musicais",1.79,32,31.31,"Atraso da Transportadora (LOGISTICA)"
"fashion_roupa_masculina",1.8,3,14.15,"Atraso do Vendedor (POSTAGEM)"
"agro_industria_e_comercio",1.8,5,27.29,"Atraso da Transportadora (LOGISTICA)"
"construcao_ferramentas_jardim",1.8,3,23.4,"Atraso do Vendedor (POSTAGEM)"
"casa_conforto",1.86,6,25.11,"Atraso do Vendedor (POSTAGEM)"
"construcao_ferramentas_construcao",1.87,37,22.25,"Atraso da Transportadora (LOGISTICA)"
"brinquedos",1.99,69,17.26,"Atraso do Vendedor (POSTAGEM)"
"artes",2,2,23.13,"Atraso da Transportadora (LOGISTICA)"
"alimentos_bebidas",2,5,19.84,"Atraso da Transportadora (LOGISTICA)"
"bebidas",2,10,15.57,"Atraso da Transportadora (LOGISTICA)"
"eletrodomesticos_2",2,6,56.09,"Atraso da Transportadora (LOGISTICA)"
"fashion_bolsas_e_acessorios",2,18,16.54,"Atraso do Vendedor (POSTAGEM)"
"fashion_roupa_feminina",2,1,17.15,"Atraso do Vendedor (POSTAGEM)"
"automotivo",2.03,61,29.91,"Atraso do Vendedor (POSTAGEM)"
"Não Informado",2.04,41,19.65,"Atraso do Vendedor (POSTAGEM)"
"ferramentas_jardim",2.04,32,21.21,"Atraso do Vendedor (POSTAGEM)"
"bebes",2.06,76,25.81,"Atraso do Vendedor (POSTAGEM)"
"casa_construcao",2.06,12,25.08,"Atraso do Vendedor (POSTAGEM)"
"cama_mesa_banho",2.06,157,21.33,"Atraso do Vendedor (POSTAGEM)"
"instrumentos_musicais",2.07,14,25.12,"Atraso do Vendedor (POSTAGEM)"
"eletrodomesticos",2.08,12,21.1,"Atraso do Vendedor (POSTAGEM)"
"bebes",2.09,144,29.62,"Atraso da Transportadora (LOGISTICA)"
